,type,category,review,star,date,option,0,1,2
82,헤트라스,별점,"향이 그닥 좋지않아요.
고급지다고 후기봤는데. 어떤게 고급진건지ㅜㅜ",평점3,22.04.27.,수량 선택: 2개입 / 향 선택: 퓨어다우니 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 퓨어다우니 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
83,헤트라스,별점,"처음엔 향이 강해요. 근데 지나고나면 향이 안나요…
지속성 별로에요ㅠ",평점3,22.08.06.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 라튤립샤워 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 라튤립샤워 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
84,헤트라스,별점,향도 괜찮고 나쁘지않아요.,평점3,22.05.23.,수량 선택: 2개입 / 향 선택: 블랙체리 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 블랙체리 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
85,헤트라스,별점,"향 뽑기 실패 ㅠㅠ
다른향살껄...다우니향 기대하고 샀는데
그냥 엄청 찐한 가루세제향이네요...
은은한 향이 아니라 거북할 정도로 먼가 특유의 향이 찐하게 납니다.
그냥 사람들이 많이 사는 향 살껄...ㅠㅠ",평점3,21.11.16.,수량 선택: 3개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 3개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
86,헤트라스,별점,생각보다 향이 잘 안나는거 같아요,평점3,21.07.13.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
87,헤트라스,별점,잘구매해서 쓰고잇습미다,평점3,22.05.12.,수량 선택: 3개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 3개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
88,헤트라스,별점,향이은은하면서 좋아요,평점3,22.02.08.,수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
89,헤트라스,별점,향 진짜 쎄요 머리 아픔,평점3,22.07.09.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 허그솝 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 허그솝 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
90,헤트라스,별점,머리가 너무아파요ㅠㅠ,평점3,22.03.03.,수량 선택: 5개입(5가지 향 각 하나씩 포함) / 향 선택: 향 5종 모두 포함 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 5개입(5가지 향 각 하나씩 포함) , 향 선택: 향 5종 모두 포함 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
91,헤트라스,별점,향이 생각보다 쎄네요.,평점3,22.03.30.,대용량 디퓨저 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
92,헤트라스,별점,그냥저냥무난합니다여,평점3,22.09.19.,수량 선택: 3개입 / 향 선택: 호텔우드 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 3개입 , 향 선택: 호텔우드 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
93,헤트라스,별점,모든부분 보통이네요.,평점3,21.08.11.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 호텔우드 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 호텔우드 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
94,헤트라스,별점,발향이 쎄지가 않아요,평점3,22.09.19.,수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
95,헤트라스,별점,향이 오래가지않아요,평점3,22.04.16.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 라튤립샤워 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 라튤립샤워 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
96,헤트라스,별점,아빠스킨향이에요....,평점3,22.06.21.,수량 선택: 2개입 / 향 선택: 북스토어 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 북스토어 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
97,헤트라스,별점,가격대비괜찬네요 ㅋ,평점3,22.02.19.,수량 선택: 2개입 / 향 선택: 허그솝 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 허그솝 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
98,헤트라스,별점,향이넘 약한것같아요,평점3,22.06.27.,대용량 디퓨저 선택: 3개입 / 향 선택: 퓨어다우니 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 3개입 , 향 선택: 퓨어다우니 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
99,헤트라스,별점,생각하던 향이 아니어서 별로였어요ㅠㅠ 서점향기를 생각했는데,평점3,22.02.05.,대용량 디퓨저 선택: 3개입 / 향 선택: 라튤립샤워 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 3개입 , 향 선택: 라튤립샤워 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
100,헤트라스,별점,향이 매우 진합니다,평점3,22.01.22.,수량 선택: 2개입 / 향 선택: 그레이프프루트 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 그레이프프루트 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
101,헤트라스,별점,향이 나무좋아요~~,평점3,22.11.08.,수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
102,헤트라스,별점,배송이 빨라요~~!!!,평점3,22.10.18.,[수량 선택]2개입 [향기] 북스토어,[수량 선택]2개입 [향기] 북스토어,,
103,헤트라스,별점,"향이진하지않아속상하네요
안방거실따로놨지만
향이...ㅠㅠ",평점3,21.07.22.,[수량 선택]2개입 [향기] 북스토어,[수량 선택]2개입 [향기] 북스토어,,
